"","harga","tahun","mileage","variant","transmisi","warna","mesin","merk","model","penumpang","lokasi"
"1",1.43e+08,2016,17500,"E","Automatic","Putih",1496,"Honda","Mobilio",7,"Jawa Barat » Taman Hollis Indah"
"2",2.1e+08,2010,213198,"GLX","Manual","Putih",2477,"Mitsubishi","Pajero Sport",7,"Jawa Barat » Margacinta"
"3",3.5e+08,2018,22500,"E","Automatic","Abu-abu",1498,"Honda","Civic",5,"Jawa Barat » Cikunir"
"4",2.5e+08,2012,47500,"1.8 TFSI PI","Automatic","Putih",1798,"Audi","A4",5,"DKI Jakarta » Kelapa Gading"
"5",1.41e+09,2016,22500,"Exclusive","Automatic","Hitam",2996,"Mercedes-Benz","S400 L",5,"DKI Jakarta » Pakubuwono"
"6",1.25e+09,2018,7500,"4MATIC AMG","Automatic","Hitam",2996,"Mercedes-Benz","GLE400",5,"Banten » BSD"
"7",7.3e+08,2015,47500,"G","Automatic","Hitam",2494,"Toyota","Alphard",7,"Banten » Banjar Wijaya"
"8",7.15e+08,2015,52500,"xDrive35i xLine","Automatic","Coklat",2979,"BMW","X5",5,"DKI Jakarta » Kedoya"
"9",1.55e+08,2019,47500,"S C","Manual","Silver",1485,"Wuling","Confero",8,"DKI Jakarta » Grogol"
"10",7.9e+08,2018,37500,"AMG","Automatic","Putih",1991,"Mercedes-Benz","GLC200",5,"DKI Jakarta » Kedoya"
"11",2.05e+08,2018,27200,"LTZ","Automatic","Hitam",1364,"Chevrolet","Trax",5,"Jawa Barat » Perwira"
"12",2.35e+08,2017,35000,"G","Manual","Hitam",1998,"Toyota","Kijang Innova",8,"DKI Jakarta » Bintaro"
"13",2.65e+08,2013,47500,"G","Automatic","Putih",2494,"Toyota","Fortuner",7,"DKI Jakarta » Kebon Kacang"
"14",8.5e+07,2013,27500,"G","Automatic","Putih",998,"Toyota","Agya",5,"DKI Jakarta » Cijantung"
"15",314999999,2011,50575,"CGI","Automatic","Putih",1796,"Mercedes-Benz","C200",5,"Jawa Barat » Cimahi Utara"
"16",2.2e+08,2011,120000,"","Automatic","Hitam",3726,"Mazda","CX-9",7,"Jawa Barat » Jatibening"
"17",1.8e+08,2009,107000,"Kompressor","Automatic","Hitam",1796,"Mercedes-Benz","C200K",5,"Jawa Barat » Bogor Selatan"
"18",1.14e+08,2017,15000,"1.2L","Automatic","Merah",1198,"Nissan","March",5,"DKI Jakarta » Kelapa Gading"
"19",1.45e+08,2014,150000,"GX","Manual","Putih",1373,"Suzuki","Ertiga",7,"Sumatera Utara » Buntu Pane"
"20",8.2e+07,2003,177500,"VTi","Automatic","Hitam",1668,"Honda","Civic",5,"Jawa Barat » Mustikajaya"
"21",3.55e+08,2015,12500,"VTi-L ES","Automatic","Putih",NA,"Honda","Accord",5,"DKI Jakarta » Pantai Indah Kapuk"
"22",1.6e+08,2013,26145,"RS","Automatic","Merah",1496,"Honda","Jazz",5,"DKI Jakarta » Rawamangun"
"23",3.25e+08,2013,67500,"Sport","Automatic","Abu-abu",1997,"BMW","320i",5,"DKI Jakarta » Permata Buana"
"24",1.58e+08,2015,22500,"TX","Automatic","Putih",1495,"Daihatsu","Terios",7,"Jawa Barat » Taman Galaxi"
"25",1.25e+08,2014,42500,"Sport","Automatic","Putih",1498,"Ford","Fiesta",5,"DKI Jakarta » Bintaro"
"26",2.85e+08,2018,22500,"G","Automatic","Putih",1998,"Toyota","Kijang Innova",8,"DKI Jakarta » Cinere"
"27",1.15e+08,2012,82500,"TX","Automatic","Silver",1495,"Daihatsu","Terios",7,"Banten » BSD"
"28",2.5e+08,2016,55000,"G","Automatic","Putih",1998,"Toyota","Kijang Innova",8,"Jawa Tengah » Majapahit"
"29",1.04e+09,2019,2500,"John Cooper Works","Automatic","Putih",1998,"MINI","Cooper",4,"Jawa Barat » Bandung"
"30",1.4e+08,2010,82000,"1.5","Automatic","Biru",1497,"Honda","Freed",7,"DKI Jakarta » Duren Sawit"
"31",3.6e+07,2004,20000,"ZL","Manual","Biru",1295,"Daihatsu","Zebra",7,"DKI Jakarta » Kebayoran Lama"
"32",2.65e+08,2015,22000,"2","Automatic","Hitam",1997,"Honda","CR-V",5,"Jawa Barat » Harapan Baru"
"33",7.5e+07,2002,172500,"","Automatic","Emas",2253,"Honda","Odyssey",7,"Banten » BSD"
"34",1.17e+08,2009,250000,"1.5","Automatic","Marun",1497,"Honda","Freed",7,"DKI Jakarta » Cipinang"
"35",4.5e+08,2018,20000,"Prestige Prestige VTEC","Automatic","Hitam",1498,"Honda","CR-V",7,"DKI Jakarta » Bintaro"
"36",1.6e+08,2009,7500,"XG","Automatic","Hitam",2359,"Hyundai","H-1",9,"Banten » Tangerang Kota"
"37",2.05e+08,2015,97500,"E","Automatic","Putih",1497,"Honda","HR-V",5,"DKI Jakarta » Bintaro"
"38",7.9e+07,1998,292500,"LGX-D","Manual","Merah",2446,"Toyota","Kijang",8,"Jawa Timur » Jabon"
"39",1.1e+08,2006,97500,"","Automatic","Hitam",1498,"Mercedes-Benz","A150",5,"Jawa Barat » Caman"
"40",8.9e+07,2014,37500,"G","Automatic","Silver",998,"Toyota","Agya",5,"DKI Jakarta » Pondok Indah"
"41",5.9e+07,1995,97500,"","Manual","Biru",1800,"Mercedes-Benz","C180",5,"DKI Jakarta » Bintaro"
"42",3.99e+08,2012,42000,"RX270","Automatic","Putih",2672,"Lexus","RX270",5,"DKI Jakarta » Cilandak"
"43",1.3e+08,2014,42500,"E Prestige","Automatic","Silver",1496,"Honda","Mobilio",7,"DKI Jakarta » Lebak Bulus"
"44",2.28e+08,2014,90100,"V","Automatic","Silver",2494,"Toyota","Camry",5,"DKI Jakarta » Percetakan Negara"
"45",2.75e+08,2013,65000,"G","Manual","Hitam",2494,"Toyota","Fortuner",7,"Jawa Timur » Sukolilo"
"46",8.8e+07,2013,122500,"D FMC","Automatic","Putih",1298,"Daihatsu","Sirion",5,"Banten » Serpong Summarecon"
"47",2.15e+08,2019,3700,"","Automatic","Putih",1491,"Suzuki","SX4 S-Cross",5,"DKI Jakarta » Kebayoran Lama"
"48",4.25e+08,2015,22500,"Sport","Automatic","Hitam",1997,"BMW","328i",5,"DKI Jakarta » Kebayoran Baru"
"49",1.6e+08,2012,80000,"E","Automatic","Putih",1497,"Honda","Freed",7,"Jawa Barat » Grand Wisata"
"50",1.7e+08,2017,42500,"G","Automatic","Hitam",1496,"Toyota","Rush",7,"Jawa Barat » Bekasi"
"51",114500000,2014,61000,"Sports E","Manual","Putih",1339,"Honda","Brio",5,"DKI Jakarta » Angke"
